Nombre,Apellido paterno,Apellido materno,Matrícula,CURP
Carlos,Ramirez,Lopez,12345601,RALC010203HDFXXX11
Maria,Gonzalez,Perez,12345602,GOPM020304MDFXXX22
Juan,Martinez,Hernandez,12345603,MAHJ030405HDFXXX33
Ana,Lopez,Diaz,12345604,LODA040506MDFXXX44
Luis,Gomez,Ruiz,12345605,GORL050607HDFXXX55
Laura,Perez,Sanchez,12345606,PESL060708MDFXXX66
Jose,Sanchez,Romero,12345607,SARJ070809HDFXXX77
Carmen,Romero,Torres,12345608,ROTC080910MDFXXX88
Jorge,Torres,Flores,12345609,TOFJ091011HDFXXX99
Sofia,Flores,Gomez,12345610,FLGS101112MDFXXX00
